Variable,Position,Label,Values,Sublabels,Measurement Level,Role,Column Width,Alignment,Print Format,Write Format,Missing Values
Q6K1,154,"6k1. Nitrogen stabilizer (e.g., N-SERVE)-Risk","0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6K2,155,"6k2. Nitrogen stabilizer (e.g., N-SERVE)-Cost","0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6K3,156,"6k3. Nitrogen stabilizer (e.g., N-SERVE)-Don't know enough","0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6K4,157,"6k4. Nitrogen stabilizer (e.g., N-SERVE)-NA","0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6K5,158,"6k5. Nitrogen stabilizer (e.g., N-SERVE)-Rented","0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,8,Right,F8,F8,9
Q6K6,159,"6k6. Nitrogen stabilizer (e.g., N-SERVE)-Other","0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6L1,160,6l1. Extended rotations-Risk,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6L2,161,6l2. Extended rotations-Cost,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6L3,162,6l3. Extended rotations-Don't know enough,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6L4,163,6l4. Extended rotations-NA,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q6L5,164,6l5. Extended rotations-Rented,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,8,Right,F8,F8,9
Q6L6,165,6l6. Extended rotations-Other,"0,
1","No, not circled or no ""other"" reason,
Yes, circled or ""other"" reasons is recorded",Nominal,Input,12,Right,F12,F12,9
Q7a,166,"7a. In the last 5 years, have you received conservation technical assistance from a state or federal agency?","0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
Q7b,167,"7b. In the last 5 years, have you received conservation technical assistance from a non-governmental organization?","0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
Q7c,168,"7c. In the last 5 years, have you received cost share to help you fund conservation practices?","0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
Q7d,169,"7d. In 2015, did you have a formal nutrient management plan in place?","0,
1","No,
Yes",Nominal,Input,8,Right,F8,F8,9
Q8a,170,8a. Family members,"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8b,171,8b. Other farmers,"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8c,172,8c. Landlord/farm management firm,"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8d,173,"8d. Local agricultural retailer (e.g., fertilizer, agricultural chemical dealer, co-op)","1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8e,174,8e. Custom operator/applicator,"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8f,175,8f. Seed company,"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8g,176,8g. Independent/private crop adviser/agronomist,"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8h,177,"8h. Iowa State University Extension (e.g., field days, workshops, publications, videos)","1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8i,178,8i. Iowa Farm Bureau,"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8j,179,8j. Iowa Corn Growers,"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8k,180,8k. Iowa Soybean Association,"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8l,181,8l. Practical Farmers of Iowa,"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8m,182,8m. Iowa Learning Farms,"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8n,183,8n. Iowa Department of Agriculture and Land Stewardship,"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8o,184,8o. Iowa Water Quality Initiative (WQI),"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8p,185,8p. NRCS or county Soil and Water Conservation District,"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8q,186,"8q. Conservation NGO (e.g., Pheasants Forever, etc.)","1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q8r,187,8r. Other,"1,
2,
3,
4,
5","No influence,
Slight influence,
Moderate influence,
Strong influence,
Very strong influence",Nominal,Input,12,Right,F12,F12,9
Q9a,188,9a. Many farmers don’t have the economic resources to adopt sufficient conservation practices,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q9b,189,9b. I can’t afford to implement more conservation practices,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q9c,190,9c. There is not enough cost-share and other support available from government agencies,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q9d,191,9d. Pressure to make profit margins makes it difficult to afford conservation practices,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q9e,192,9e. Landlords are unwilling to spend money on conservation,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q9f,193,9f. Landlords don’t want to change the way things are done,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q9g,194,9g. Nutrient loss is difficult to avoid in corn-soybean production systems,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q9h,195,9h. Many conservation practices have negative impacts on yields,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q9i,196,9i. Nutrient loss is difficult to avoid in tile-drained fields,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q9j,197,9j. Many farmers are not aware that nutrients from agriculture can impact water quality,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q9k,198,9k. Farmers who have more run-off and erosion problems are less likely to seek conservation assistance,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q9l,199,9l. Farmers who are poor stewards of the land cause most of the water quality problems,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q9m,200,9m. Many farmers don’t know how to further reduce nutrient losses from their farms,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q9n,201,9n. I don’t know how to further reduce nutrient losses from my farm,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q9o,202,9o. Farmers need help learning how to reduce nutrient loss more effectively,"1,
2,
3,
4,
5","Strongly disagree,
Disagree,
Uncertain,
Agree,
Strongly agree",Nominal,Input,12,Right,F12,F12,9
Q10,203,10. What is your gender?,"0,
1","Female,
Male",Nominal,Input,12,Right,F12,F12,9
Q11,204,11. What is your age?,NA,NA,Scale,Input,12,Right,F12,F12,99
Q12,205,12. What is the highest level of education you have completed?,"1,
2,
3,
4,
5,
6,
7","Less than high school,
High school graduate (or equivalent),
Some college, no degree,
Bachelor's degree,
Some graduate school,
Graduate or professional degree,
2 year degree, AAS degree",Nominal,Input,12,Right,F12,F12,9
Q13CornOwn,206,13. Corn-Owned,0,None,Scale,Input,12,Right,F12,F12,99999
Q13CornRent,207,13. Corn-Rented,0,None,Scale,Input,12,Right,F12,F12,99999
Q13BeansOwn,208,13. Soybeans-Owned,0,None,Scale,Input,12,Right,F12,F12,99999
Q13BeansRent,209,13. Soybeans-Rented,0,None,Scale,Input,12,Right,F12,F12,99999
Q13GrainOwn,210,13. Small grains-Owned,0,None,Scale,Input,12,Right,F12,F12,99999
Q13GrainRent,211,13. Small grains-Rented,0,None,Scale,Input,12,Right,F12,F12,99999
Q13FruitOwn,212,13. Fruit and/or vegetable production-Owned,0,None,Scale,Input,12,Right,F12,F12,99999
Q13FruitRent,213,13. Fruit and/or vegetable production-Rented,0,None,Scale,Input,12,Right,F12,F12,99999
Q13PastureOwn,214,13. Pasture and/or hay production-Owned,0,None,Scale,Input,12,Right,F12,F12,99999
Q13PastureRent,215,13. Pasture and/or hay productin-Rented,0,None,Scale,Input,12,Right,F12,F12,99999
Q13CRPOwn,216,13. CRP-Owned,0,None,Scale,Input,12,Right,F12,F12,99999
Q14,217,"14. In 2014, did you raise livestock for sale or for milk production?","0,
1","No,
Yes",Nominal,Input,12,Right,F12,F12,9
Q15,218,15. Which category best represents your gross farm sales for 2014?,"1,
2,
3,
4,
5,
6,
7,
8","None,
Less than $50,000,
$50,000 to $149,999,
$150,000 to $249,999,
$250,000 to $349,999,
$350,000 to $499,999,
$500,000 to $999,999,
$1,000,000 or more",Nominal,Input,12,Right,F12,F12,9
Q109,219,9. Do you rent any farmland from others?,"0,
1","No,
Yes",Nominal,Input,12,Right,F2,F2,9
Q110A,220,10a. My landlord understands that nutrient losses from farm fields can have a negative impact on water quality.,"1,
2,
3,
4,
5,
9a,
99a","Strongly Disagree,
Disagree,
Uncertain,
Agree,
Strongly Agree,
Rents but no response,
No land rental, Q9 = No",Nominal,Input,12,Right,F2,F2,"9, 99"
Q110B,221,10b. My landlord generally places land stewardship goals ahread of income goals.,"1,
2,
3,
4,
5,
9a,
99a","Strongly Disagree,
Disagree,
Uncertain,
Agree,
Strongly Agree,
Rents but no response,
No land rental, Q9 = No",Nominal,Input,12,Right,F2,F2,"9, 99"
Q110C,222,"10c. If conservatin practices are needed on the land I rent, it is my landlord's responsibility to pay for implementing those practices.","1,
2,
3,
4,
5,
9a,
99a","Strongly Disagree,
Disagree,
Uncertain,
Agree,
Strongly Agree,
Rents but no response,
No land rental, Q9 = No",Nominal,Input,12,Right,F2,F2,"9, 99"
Q110D,223,10d. My landlord participates significantly in conservation decisions.,"1,
2,
3,
4,
5,
9a,
99a","Strongly Disagree,
Disagree,
Uncertain,
Agree,
Strongly Agree,
Rents but no response,
No land rental, Q9 = No",Nominal,Input,12,Right,F2,F2,"9, 99"
Q110E,224,10e. My landlord is generally willing to pay for conservation practices to control soil erosion.,"1,
2,
3,
4,
5,
9a,
99a","Strongly Disagree,
Disagree,
Uncertain,
Agree,
Strongly Agree,
Rents but no response,
No land rental, Q9 = No",Nominal,Input,12,Right,F2,F2,"9, 99"
Q110F,225,10f. My landlord is concerned about avoiding loss of nutrients into waterways through leaching and/or runoff.,"1,
2,
3,
4,
5,
9a,
99a","Strongly Disagree,
Disagree,
Uncertain,
Agree,
Strongly Agree,
Rents but no response,
No land rental, Q9 = No",Nominal,Input,12,Right,F2,F2,"9, 99"
Q110G,226,"10g. If conservation practices are needed on the land I rent,it is my responsibility to pay for implementing thos pratices.","1,
2,
3,
4,
5,
9a,
99a","Strongly Disagree,
Disagree,
Uncertain,
Agree,
Strongly Agree,
Rents but no response,
No land rental, Q9 = No",Nominal,Input,12,Right,F2,F2,"9, 99"
Q110H,227,10h. My landlord is generally willing to pay for conservatin practices to control nutrient loss into waterways.,"1,
2,
3,
4,
5,
9a,
99a","Strongly Disagree,
Disagree,
Uncertain,
Agree,
Strongly Agree,
Rents but no response,
No land rental, Q9 = No",Nominal,Input,12,Right,F2,F2,"9, 99"
Q110I,228,10i. My landlord should invest more in conseravation practices.,"1,
2,
3,
4,
5,
9a,
99a","Strongly Disagree,
Disagree,
Uncertain,
Agree,
Strongly Agree,
Rents but no response,
No land rental, Q9 = No",Nominal,Input,12,Right,F2,F2,"9, 99"
Q111A,229,"11a. In 2015, did the landlord from whom you rent the most land require special soil erosion control practices in your lease agreement?","0,
1,
9a,
99a","No,
Yes,
Rents but no response,
No land rental, Q9 = No",Nominal,Input,12,Right,F2,F2,"9, 99"
Q111B,230,"11b. In 2015, did the landlord from whom you rent the most land require specific practices to reduce nutrient loss into waterways in your lease agreement?","0,
1,
9a,
99a","No,
Yes,
Rents but no response,
No land rental, Q9 = No",Nominal,Input,12,Right,F2,F2,"9, 99"
Q111C,231,"11c. In 2015, did the landlord from whom you rent the most land include provisions related to type and/or timing of tillage in your lease agreement?","0,
1,
9a,
99a","No,
Yes,
Rents but no response,
No land rental, Q9 = No",Nominal,Input,12,Right,F2,F2,"9, 99"
Q111D,232,"11d. In general, do you apply lower rates of P and K to rented land?","0,
1,
9a,
99a","No,
Yes,
Rents but no response,
No land rental, Q9 = No",Nominal,Input,12,Right,F2,F2,"9, 99"
Q2_NRSInfo_PrivSect,233,Q2_NRSInfo_PrivSect,NA,NA,Scale,Input,15,Right,F8,F8,9
Q2_NRSInfo_PubSect,234,Q2_NRSInfo_PubSect,NA,NA,Nominal,Input,21,Right,F8,F8,9
Q2_NRSInfo_Press,235,Q2_NRSInfo_Press,NA,NA,Nominal,Input,18,Right,F8,F8,9
Q3d_WS_Group,236,<none>,"0,
1","No,
Yes",Nominal,Input,14,Right,F8,F8,9
Q3e_Water_border,237,Land borders waterway or lake?,"0,
1","No,
Yes",Nominal,Input,18,Right,F8,F8,9
Q4bREV,238,Reversed 4b. I don’t know how well my farm operation is doing in terms of keeping nutrients out of waterways.,"1,
2,
3,
4,
5","Strongly agree,
Agree,
Uncertain,
Disagree,
Strongly disagree",Nominal,Input,8,Right,F8,F8,9
Q4_Attitudes_ConcernSupport,239,Q4_Attitudes_ConcernSupport,NA,NA,Scale,Input,29,Right,F8.2,F8.2,9.00
Q4_Awareness_Concern,240,Q4_Awareness_Concern,NA,NA,Scale,Input,20,Right,F8,F8,9
Q4_Attitudes_Support,241,Q4_Attitudes_Support,NA,NA,Nominal,Input,19,Right,F8,F8,9
Q5_3_Sum,242,Sum of Q5_1 = 3 (used practice),NA,NA,Nominal,Input,14,Right,F8,F8,9
Q5_Conservation,243,Sum Q5 Conservation only,NA,NA,Nominal,Input,13,Right,F8,F8,9
Q5_N_Management,244,N Management Practices,NA,NA,Nominal,Input,12,Right,F8,F8,9
Q5_Structural,245,Sum Q5 structural conservation only,NA,NA,Nominal,Input,12,Right,F8,F8,9
Q5_Infield,246,Sum Q5 Infield conservation only,NA,NA,Nominal,Input,12,Right,F8,F8,9
Q5a_Cover_Crops,247,Q5A1=3,"0,
1","No,
Yes",Nominal,Input,15,Right,F8,F8,9
Q7abc_CS_TA_L5YRS,248,Cost share or TA last 5 years,"0,
1","No,
Yes",Nominal,Input,19,Right,F8,F8,9
Q8_Infl_Public_NGO,249,Q8 Infl Public-NGO Ag Groups_scale,NA,NA,Scale,Input,20,Right,F8.2,F8.2,9.00
Q8_PrivateSect_Infl,250,Q8 Infl Private sector_scale,NA,NA,Scale,Input,21,Right,F8.2,F8.2,9.00
Q8_Infl_LocalSoc,251,Q8 Infl Local social network_scale,NA,NA,Scale,Input,18,Right,F8.2,F8.2,9.00
Q8_Public_Infl,252,Ext-NRCS-IDALS-WQI,NA,NA,Scale,Input,13,Right,F8.2,F8.2,9.00
Q8_OnFarmResNGO_Infl,253,ISA-PFI-ILF,NA,NA,Nominal,Input,16,Right,F8.2,F8.2,9.00
Q9_Barriers_Econ,254,Q9_Econ Barriers_scale,NA,NA,Scale,Input,18,Right,F8.2,F8.2,9.00
Q9_Barriers_Agron,255,Q9_Barriers_Agron_scale,NA,NA,Scale,Input,15,Right,F8.2,F8.2,9.00
Q9_Barriers_Landlord,256,Q9_Barriers_Landlord_scale,NA,NA,Scale,Input,17,Right,F8.2,F8.2,9.00
Q12_Educ_Recode,257,<none>,"1,
2,
3,
4","H.S. or less,
Some college,
Bachelors,
Some grad school or grad/prof degree",Nominal,Input,17,Right,F8,F8,9
TotalAcresCropsOwned,258,<none>,NA,NA,Scale,Input,18,Right,F8,F8,99999
TotalAcresCropsRented,259,<none>,NA,NA,Scale,Input,11,Right,F8,F8,99999
TotalAcresCrops,260,<none>,NA,NA,Scale,Input,17,Right,F8,F8,99999
TotalAcresPasture,261,<none>,NA,NA,Scale,Input,14,Right,F8,F8,99999
TotalAcresFarmland,262,<none>,NA,NA,Scale,Input,22,Right,F8,F8,99999
PercentCropsRented,263,COMPUTE PercentCropsRented=TotalAcresCropsRented / TotalAcresCrops,NA,NA,Scale,Input,19,Right,F8.2,F8.2,NA
RentsLand,264,<none>,"0,
1","No,
Yes",Nominal,Input,12,Right,F8,F8,9
filter_$,265,Q4n = 9 (FILTER),"0,
1","Not Selected,
Selected",Nominal,Input,10,Right,F1,F1,NA
PrimaryLast,266,Indicator of each last matching case as Primary,"0,
1","Duplicate Case,
Primary Case",Ordinal,Input,13,Right,F1,F1,NA
